dataset_name,quality_bin,algorithm,train_seed,source_summary_type,dataset_norm_state_cov,dataset_norm_sa_cov,dataset_state_entropy,dataset_avg_return,dataset_success_rate,run_avg_return,run_success_rate,run_avg_episode_length,ood_action_rate_step,support_overlap_rate_unique_sa,eval_sa_coverage_wrt_dataset_support,support_distance_proxy,q_over_rate,q_over_mean_excess,checkpoint_path,status,notes
envA_v2_small_narrow_medium,medium,cql,4,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.012500,0.011578,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed4.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,cql,5,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.012500,0.013167,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed5.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,cql,6,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.012500,0.014836,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed6.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,cql,7,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.025000,0.013731,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed7.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,cql,8,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.012500,0.017634,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed8.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,cql,9,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.012500,0.013973,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed9.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,cql,10,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.087500,0.022459,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed10.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,cql,11,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.012500,0.012127,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed11.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,cql,12,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.012500,0.012290,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed12.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,cql,13,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.012500,0.011712,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed13.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,cql,14,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.012500,0.014600,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed14.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,cql,15,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.050000,0.016516,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed15.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,cql,16,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.325000,0.040355,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed16.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,cql,17,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.462500,0.053588,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed17.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,cql,18,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.012500,0.012187,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed18.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_narrow_medium,medium,cql,19,main,0.119403,0.060075,6.2192,-0.2269,0.7216,0.2700,1.0000,73.00,0.000000,1.000000,0.453416,0.000000,0.137500,0.029158,artifacts\training_main\envA_v2_small_narrow_medium_cql_seed19.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_large_wide_medium,medium,bc,0,main,0.417910,0.212313,7.8420,-0.1687,0.7600,0.3900,1.0000,61.00,0.000000,1.000000,0.107206,0.000000,,,artifacts\training_main\envA_v2_large_wide_medium_bc_seed0.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
